content_required,checklist_completed,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,quiz_attempts_per_quiz,Classifier
42,0,0,0,0,W,course_30,M,domestic,33,5,5.0,0.0,258.0,0.0,0.0,0.0,KNN
90,0,0,8,14509,F,course_189,M,domestic,19,10,6.0,0.6111111111111112,40.8,355.6127450980392,263.8,0.0,KNN
27,0,0,0,437,F,course_52,M,domestic,20,10,5.0,0.2222222222222222,17.8,24.55056179775281,72.83333333333333,0.0,KNN
0,0,0,0,0,F,course_188,M,domestic,20,10,6.0,0.0,94.0,0.0,0.0,1.0,KNN
34,0,0,0,1010,F,course_148,F,domestic,39,6,0.0,0.9705882352941176,71.5,14.125874125874127,30.606060606060606,1.0,KNN
66,0,0,3,2191,F,course_28,M,domestic,24,4,4.0,0.4393939393939394,614.25,3.566951566951567,75.55172413793103,0.0,KNN
9,0,0,2,151,F,course_15,F,domestic,27,14,6.0,0.8888888888888888,28.571428571428573,5.285,18.875,1.25,KNN
154,0,0,0,5684,F,course_136,M,domestic,19,13,7.0,0.14285714285714285,44.07692307692308,128.95636998254798,258.3636363636364,5.833333333333333,KNN
90,0,0,8,9068,F,course_189,M,domestic,20,10,6.0,0.8222222222222222,94.0,96.46808510638297,122.54054054054055,0.0,KNN
42,0,0,4,52181,F,course_110,M,domestic,22,9,4.0,0.7142857142857143,266.3333333333333,195.92365456821028,1739.3666666666666,1.9333333333333333,KNN
42,0,0,0,0,F,course_190,M,domestic,19,10,6.0,0.0,29.9,0.0,0.0,0.0,KNN
117,0,0,0,83346,F,course_26,M,domestic,19,10,6.0,0.5128205128205128,72.3,1152.7800829875519,1389.1,1.8333333333333333,KNN
52,0,0,0,79,F,course_137,M,domestic,22,7,7.0,0.038461538461538464,44.142857142857146,1.7896440129449838,39.5,0.0,KNN
