content_completed,content_required,checklist_completed,quiz_completed,total_quiz_attempts,discussion_post_created,discussion_post_replies,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,number_of_logins_to_the_system,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,at_risk
184,233,0,8,16,0,0,0,12,22954,920,F,course_85,F,domestic,26,14,7.0,0.7896995708154506,65.71428571428571,349.3,124.75,0
181,233,0,25,33,0,0,0,3,87524,439,F,course_85,F,domestic,22,14,7.0,0.776824034334764,31.357142857142858,2791.1981776765374,483.55801104972375,1
170,233,0,15,19,0,0,0,2,159966,951,F,course_85,F,international,21,13,7.0,0.7296137339055794,73.15384615384616,2186.706624605678,940.9764705882353,0
168,233,0,19,35,0,0,0,2,5438,400,F,course_85,F,domestic,27,14,6.0,0.721030042918455,28.571428571428573,190.32999999999998,32.36904761904762,1
163,233,0,15,18,0,0,0,4,124313,465,F,course_85,F,domestic,23,17,7.0,0.6995708154506438,27.352941176470587,4544.776344086022,762.6564417177914,1
157,233,0,10,15,0,0,0,2,31987,1086,F,course_85,F,domestic,40,6,2.0,0.6738197424892703,181.0,176.72375690607734,203.7388535031847,0
153,233,0,12,18,0,0,0,10,22878,2926,F,course_85,F,domestic,32,10,4.0,0.6566523605150214,292.6,78.18865345181133,149.52941176470588,0
151,233,0,20,34,0,0,0,11,86277,626,F,course_85,F,domestic,37,8,4.0,0.648068669527897,78.25,1102.5814696485622,571.3708609271523,0
149,149,0,0,0,4,11,28,2,663,1457,F,course_195,M,international,24,8,7.0,1.0,182.125,3.640356897735072,4.449664429530201,0
149,149,0,0,0,3,12,32,5,8368,1889,F,course_195,M,international,26,8,7.0,1.0,236.125,35.43885653785072,56.16107382550336,0
146,149,0,0,0,3,6,86,5,8054,1324,F,course_195,M,international,30,8,7.0,0.9798657718120806,165.5,48.66465256797583,55.16438356164384,0
146,149,0,0,0,4,16,37,4,7100,1263,F,course_195,F,international,27,8,7.0,0.9798657718120806,157.875,44.972288202692006,48.63013698630137,0
140,149,0,0,0,3,21,58,3,9077,1276,F,course_195,F,international,31,8,7.0,0.9395973154362416,159.5,56.90909090909091,64.83571428571429,0
140,158,0,11,17,0,0,6,2,12007,807,F,course_354,M,international,29,12,6.0,0.8860759493670886,67.25,178.54275092936803,85.76428571428572,0
140,158,0,11,18,0,0,6,1,10602,812,F,course_354,M,international,30,12,6.0,0.8860759493670886,67.66666666666667,156.67980295566502,75.72857142857143,0
137,137,0,0,0,0,0,0,0,33994,425,F,course_193,M,domestic,21,12,6.0,1.0,35.416666666666664,959.8305882352942,248.13138686131387,0
136,149,0,0,0,4,26,41,2,4244,1110,F,course_195,M,international,26,8,7.0,0.912751677852349,138.75,30.587387387387388,31.205882352941178,0
135,137,0,0,0,0,0,0,0,24485,642,F,course_193,M,domestic,41,12,6.0,0.9854014598540146,53.5,457.66355140186914,181.37037037037038,0
